"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"19:45","Portugal pt",4,"li Liechtenstein",0,45378,"Estádio José Alvalade","Espen Andreas Eskås","","https://fbref.com/en/matches/f4700be9/Portugal-Liechtenstein-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Denmark dk",3,"fi Finland",1,35851,"Parken","Daniel Siebert","","https://fbref.com/en/matches/287ad346/Denmark-Finland-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Bosnia & Herz'na ba",3,"is Iceland",0,9234,"Stadion Bilino Polje","Donatas Rumšas","","https://fbref.com/en/matches/537f08be/Bosnia-and-Herzegovina-Iceland-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Italy it",1,"eng England",2,44536,"Stadio Diego Armando Maradona","Srđan Jovanović","","https://fbref.com/en/matches/64af7b32/Italy-England-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","San Marino sm",0,"nir Northern Ireland",2,2099,"San Marino Stadium","Gergő Bogár","","https://fbref.com/en/matches/82c9473a/San-Marino-Northern-Ireland-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","Slovakia sk",0,"lu Luxembourg",0,3523,"City Arena Trnava","Rade Obrenović","","https://fbref.com/en/matches/882573bd/Slovakia-Luxembourg-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"20:45","N. Macedonia mk",2,"mt Malta",1,9997,"Nationala Arena Toše Proeski","Kristo Tohver","","https://fbref.com/en/matches/b0a5ae97/North-Macedonia-Malta-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Thu",2023-03-23,"21:00","Kazakhstan kz",1,"si Slovenia",2,27122,"Astana Arena","Glenn Nyberg","","https://fbref.com/en/matches/2ecc3d6b/Kazakhstan-Slovenia-March-23-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"19:00","Bulgaria bg",0,"me Montenegro",1,9180,"Huvepharma Arena","Əliyar Ağayev","","https://fbref.com/en/matches/1e454af1/Bulgaria-Montenegro-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"19:45","Gibraltar gi",0,"gr Greece",3,390,"Estádio Algarve","Rohit Saggi","","https://fbref.com/en/matches/e3779236/Gibraltar-Greece-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Austria at",4,"az Azerbaijan",1,16500,"Raiffeisen Arena","Bartosz Frankowski","","https://fbref.com/en/matches/18788178/Austria-Azerbaijan-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Sweden se",0,"be Belgium",3,49296,"Friends Arena","Orel Grinfeeld","","https://fbref.com/en/matches/1c47dc70/Sweden-Belgium-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Serbia rs",2,"lt Lithuania",0,21125,"Stadion Rajko Mitić","Lawrence Visser","","https://fbref.com/en/matches/9a3a9ee9/Serbia-Lithuania-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","France fr",4,"nl Netherlands",0,77328,"Stade de France","Maurizio Mariani","","https://fbref.com/en/matches/cc045e88/France-Netherlands-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Czechia cz",3,"pl Poland",1,19045,"Fortuna Arena","Anastasios Sidiropoulos","","https://fbref.com/en/matches/f97c6552/Czechia-Poland-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"21:45","Moldova md",1,"fo Faroe Islands",1,4732,"Stadionul Zimbru","Nick Walsh","","https://fbref.com/en/matches/29630a8f/Moldova-Faroe-Islands-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"14:00","Scotland sct",3,"cy Cyprus",0,48195,"Hampden Park","Duje Strukan","","https://fbref.com/en/matches/cc9a126a/Scotland-Cyprus-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"18:00","Belarus by",0,"ch Switzerland",5,NA,"Stadion Karađorđe","Alejandro Hernández","","https://fbref.com/en/matches/4c992559/Belarus-Switzerland-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:00","Israel il",1,"xk Kosovo",1,28935,"Bloomfield Stadium","William Collum","","https://fbref.com/en/matches/373d431a/Israel-Kosovo-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Croatia hr",1,"wls Wales",1,33474,"Gradski stadion u Poljudu","João Pinheiro","","https://fbref.com/en/matches/41756f7f/Croatia-Wales-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Spain es",3,"no Norway",0,29214,"Estadio La Rosaleda","Benoît Bastien","","https://fbref.com/en/matches/4a800e3f/Spain-Norway-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Andorra ad",0,"ro Romania",2,2927,"Estadi Nacional","Dario Bel","","https://fbref.com/en/matches/6d4f2f12/Andorra-Romania-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"21:00","Armenia am",1,"tr Türkiye",2,14125,"Vazgen Sargsyan anvan Hanrapetakan Marza...","José Sánchez","","https://fbref.com/en/matches/923bf4b3/Armenia-Turkiye-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"15:00","Hungary hu",3,"me Montenegro",1,59600,"Puskás Aréna","Danny Makkelie","","https://fbref.com/en/matches/a337b2d6/Hungary-Montenegro-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"15:00","Serbia rs",2,"bg Bulgaria",2,7325,"Stadion Dubočica","Erik Lambrechts","","https://fbref.com/en/matches/f6edf05d/Serbia-Bulgaria-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"18:00","Sweden se",2,"ee Estonia",0,11201,"Friends Arena","Fabio Maresca","","https://fbref.com/en/matches/49348035/Sweden-Estonia-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"18:00","Belgium be",5,"az Azerbaijan",0,30276,"Stade Roi Baudouin","Gergő Bogár","","https://fbref.com/en/matches/9bab8d00/Belgium-Azerbaijan-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"19:45","Scotland sct",3,"no Norway",3,48138,"Hampden Park","Horațiu Fesnic","","https://fbref.com/en/matches/376c8c83/Scotland-Norway-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"19:45","Portugal pt",2,"is Iceland",0,45655,"Estádio José Alvalade","Anastasios Papapetrou","","https://fbref.com/en/matches/adf2f1dc/Portugal-Iceland-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"20:45","Liechtenstein li",0,"lu Luxembourg",1,2241,"Rheinpark Stadion","Stéphanie Frappart","","https://fbref.com/en/matches/59024b43/Liechtenstein-Luxembourg-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"20:45","Bosnia & Herz'na ba",1,"sk Slovakia",2,3800,"Stadion Bilino Polje","Julian Weinberger","","https://fbref.com/en/matches/a217215a/Bosnia-and-Herzegovina-Slovakia-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"20:45","Spain es",3,"ge Georgia",1,24146,"Estadio Municipal José Zorrilla","Ovidiu Hațegan","","https://fbref.com/en/matches/d0538cf2/Spain-Georgia-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"19:45","Northern Ireland nir",2,"dk Denmark",0,17366,"Windsor Park","Jérôme Brisard","","https://fbref.com/en/matches/7ffa704a/Northern-Ireland-Denmark-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"20:45","Czechia cz",3,"md Moldova",0,11653,"Andrův stadion","Sandro Schärer","","https://fbref.com/en/matches/89c78dd2/Czechia-Moldova-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"20:45","Albania al",0,"fo Faroe Islands",0,21456,"Air Albania Stadium","Sven Jablonski","","https://fbref.com/en/matches/9532c14b/Albania-Faroe-Islands-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"20:45","N. Macedonia mk",1,"eng England",1,27982,"Nationala Arena Toše Proeski","Filip Glova","","https://fbref.com/en/matches/a7fd04d1/North-Macedonia-England-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"20:45","San Marino sm",1,"fi Finland",2,1427,"San Marino Stadium","Manfredas Lukjančukas","","https://fbref.com/en/matches/c5414e19/San-Marino-Finland-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"20:45","Slovenia si",2,"kz Kazakhstan",1,16432,"Stadion Stožice","Szymon Marciniak","","https://fbref.com/en/matches/f5e05d9d/Slovenia-Kazakhstan-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Mon",2023-11-20,"21:45","Ukraine ua",0,"it Italy",0,26403,"BayArena","Jesús Gil","","https://fbref.com/en/matches/18b09385/Ukraine-Italy-November-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"19:45","Wales wls",1,"tr Türkiye",1,32291,"Cardiff City Stadium","Matej Jug","","https://fbref.com/en/matches/369b2704/Wales-Turkiye-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"20:45","Gibraltar gi",0,"nl Netherlands",6,2280,"Estádio Algarve","Arda Kardeşler","","https://fbref.com/en/matches/6f00178e/Gibraltar-Netherlands-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"20:45","Andorra ad",0,"il Israel",2,568,"Estadi Nacional","Sascha Stegemann","","https://fbref.com/en/matches/79b3a303/Andorra-Israel-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"20:45","Kosovo xk",0,"by Belarus",1,5026,"Stadiumi Fadil Vokrri","Georgi Kabakov","","https://fbref.com/en/matches/abbebf9e/Kosovo-Belarus-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"20:45","Croatia hr",1,"am Armenia",0,20398,"Stadion Maksimir","Ivan Kružliak","","https://fbref.com/en/matches/d45bcc43/Croatia-Armenia-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"21:45","Romania ro",1,"ch Switzerland",0,50224,"Arena Naţională","Davide Massa","","https://fbref.com/en/matches/c194a16f/Romania-Switzerland-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Tue",2023-11-21,"21:45","Greece gr",2,"fr France",2,24820,"Agia Sophia Stadium","Daniel Siebert","","https://fbref.com/en/matches/c80a5917/Greece-France-November-21-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"17:00","England eng",2,"ua Ukraine",0,83947,"Wembley Stadium connected by EE","Serdar Gözübüyük","","https://fbref.com/en/matches/275ada90/England-Ukraine-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"18:00","Liechtenstein li",0,"is Iceland",7,1692,"Rheinpark Stadion","Jakob Kehlet","","https://fbref.com/en/matches/28fdf4fb/Liechtenstein-Iceland-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"18:00","Slovenia si",2,"sm San Marino",0,10282,"Stadion Stožice","Nathan Verboomen","","https://fbref.com/en/matches/ae118d89/Slovenia-San-Marino-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"19:00","Kazakhstan kz",3,"dk Denmark",2,28697,"Astana Arena","Novak Simović","","https://fbref.com/en/matches/715a30a3/Kazakhstan-Denmark-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"19:45","Northern Ireland nir",0,"fi Finland",1,17936,"Windsor Park","Ivan Kružliak","","https://fbref.com/en/matches/4929815d/Northern-Ireland-Finland-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"20:45","Slovakia sk",2,"ba Bosnia & Herz'na",0,6052,"Štadión Tehelné pole","Marco Di Bello","","https://fbref.com/en/matches/09a0a1f9/Slovakia-Bosnia-and-Herzegovina-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"20:45","Luxembourg lu",0,"pt Portugal",6,9231,"Stade de Luxembourg","Radu Petrescu","","https://fbref.com/en/matches/2861a862/Luxembourg-Portugal-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Sun",2023-03-26,"20:45","Malta mt",0,"it Italy",2,16015,"Ta'Qali National Stadium","Georgi Kabakov","","https://fbref.com/en/matches/6a5470aa/Malta-Italy-March-26-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"19:45","Rep. of Ireland ie",0,"fr France",1,50219,"Aviva Stadium","Artur Soares Dias","","https://fbref.com/en/matches/118bc75b/Republic-of-Ireland-France-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"20:45","Hungary hu",3,"bg Bulgaria",0,53000,"Puskás Aréna","Halil Umut Meler","","https://fbref.com/en/matches/4d875532/Hungary-Bulgaria-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"20:45","Sweden se",5,"az Azerbaijan",0,23674,"Friends Arena","Stéphanie Frappart","","https://fbref.com/en/matches/4e5b1d45/Sweden-Azerbaijan-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"20:45","Netherlands nl",3,"gi Gibraltar",0,36327,"Stadion Feijenoord","Morten Krogh","","https://fbref.com/en/matches/9103e2e9/Netherlands-Gibraltar-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"20:45","Montenegro me",0,"rs Serbia",2,9831,"Stadion Pod Goricom","Clément Turpin","","https://fbref.com/en/matches/9b1f6871/Montenegro-Serbia-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"20:45","Austria at",2,"ee Estonia",1,16500,"Raiffeisen Arena","Enea Jorgji","","https://fbref.com/en/matches/9ca7aea8/Austria-Estonia-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"20:45","Poland pl",1,"al Albania",0,56227,"Stadion Narodowy","Slavko Vinčič","","https://fbref.com/en/matches/b3cfd5ef/Poland-Albania-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Mon",2023-03-27,"21:45","Moldova md",0,"cz Czechia",0,5120,"Stadionul Zimbru","Daniel Schlager","","https://fbref.com/en/matches/21166a7e/Moldova-Czechia-March-27-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"19:45","Scotland sct",2,"es Spain",0,47976,"Hampden Park","Sandro Schärer","","https://fbref.com/en/matches/1a041b62/Scotland-Spain-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"19:45","Wales wls",1,"lv Latvia",0,32806,"Cardiff City Stadium","Giorgi Kruashvili","","https://fbref.com/en/matches/b92bb9e3/Wales-Latvia-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"20:00","Georgia ge",1,"no Norway",1,20300,"Adjarabet Arena","Andris Treimanis","","https://fbref.com/en/matches/e43213da/Georgia-Norway-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"20:45","Kosovo xk",1,"ad Andorra",1,12600,"Stadiumi Fadil Vokrri","Sebastian Gishamer","","https://fbref.com/en/matches/cb15f216/Kosovo-Andorra-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"20:45","Switzerland ch",3,"il Israel",0,14819,"Stade de Genève","Nikola Dabanović","","https://fbref.com/en/matches/d1f1665d/Switzerland-Israel-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"21:45","Türkiye tr",0,"hr Croatia",2,37750,"Yüzüncü Yıl Atatürk Stadyum","Andreas Ekberg","","https://fbref.com/en/matches/2ef3e16b/Turkiye-Croatia-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"21:45","Romania ro",2,"by Belarus",1,27837,"Arena Naţională","Allard Lindhout","","https://fbref.com/en/matches/80bd3bbb/Romania-Belarus-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"19:00","Finland fi",2,"si Slovenia",0,32560,"Helsingin olympiastadion","Guillermo Cuadra","","https://fbref.com/en/matches/ef7c7eb9/Finland-Slovenia-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"19:45","Wales wls",2,"am Armenia",4,32774,"Cardiff City Stadium","Georgi Kabakov","","https://fbref.com/en/matches/f0f5c8aa/Wales-Armenia-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","Denmark dk",1,"nir Northern Ireland",0,35701,"Parken","Daniel Stefański","","https://fbref.com/en/matches/2915ac5c/Denmark-Northern-Ireland-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","Gibraltar gi",0,"fr France",3,4065,"Estádio Algarve","Yevhen Aranovskyi","","https://fbref.com/en/matches/31ead1ad/Gibraltar-France-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","San Marino sm",0,"kz Kazakhstan",3,528,"Stadio Ennio Tardini","Anastasios Papapetrou","","https://fbref.com/en/matches/348e0e97/San-Marino-Kazakhstan-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","Andorra ad",1,"ch Switzerland",2,2490,"Estadi Nacional","Balázs Berke","","https://fbref.com/en/matches/4f23cd35/Andorra-Switzerland-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","N. Macedonia mk",2,"ua Ukraine",3,14370,"Nationala Arena Toše Proeski","Lukas Fähndrich","","https://fbref.com/en/matches/bc5de2a8/North-Macedonia-Ukraine-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","Kosovo xk",0,"ro Romania",0,11000,"Stadiumi Fadil Vokrri","Danny Makkelie","","https://fbref.com/en/matches/c38ad9f9/Kosovo-Romania-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"20:45","Malta mt",0,"eng England",4,16277,"Ta'Qali National Stadium","Igor Pajač","","https://fbref.com/en/matches/ec84182e/Malta-England-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"21:45","Belarus by",1,"il Israel",2,NA,"Szusza Ferenc Stadion","Jarred Gillett","","https://fbref.com/en/matches/68edd132/Belarus-Israel-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"21:45","Greece gr",2,"ie Rep. of Ireland",1,17452,"Agia Sophia Stadium","Harald Lechner","","https://fbref.com/en/matches/8af346e6/Greece-Republic-of-Ireland-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Fri",2023-06-16,"21:45","Latvia lv",2,"tr Türkiye",3,6287,"Stadions Skonto","Tamás Bognár","","https://fbref.com/en/matches/fa412209/Latvia-Turkiye-June-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"15:00","Luxembourg lu",2,"li Liechtenstein",0,6806,"Stade de Luxembourg","Oleksii Derevinskyi","","https://fbref.com/en/matches/129528eb/Luxembourg-Liechtenstein-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"16:00","Lithuania lt",1,"bg Bulgaria",1,14230,"S. Dariaus ir S. Girėno stadionas","Jakob A. Sundberg","","https://fbref.com/en/matches/7a71bb77/Lithuania-Bulgaria-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"18:00","Norway no",1,"sct Scotland",2,25791,"Ullevaal Stadion","Matej Jug","","https://fbref.com/en/matches/d3f580b6/Norway-Scotland-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"18:00","Montenegro me",0,"hu Hungary",0,6761,"Stadion Pod Goricom","Jesús Gil","","https://fbref.com/en/matches/e48ecae2/Montenegro-Hungary-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"18:45","Iceland is",1,"sk Slovakia",2,7555,"Laugardalsvöllur","Don Robertson","","https://fbref.com/en/matches/4b47f729/Iceland-Slovakia-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"19:45","Faroe Islands fo",0,"cz Czechia",3,2232,"Tórsvøllur","Arda Kardeşler","","https://fbref.com/en/matches/60a6cf57/Faroe-Islands-Czechia-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"19:45","Portugal pt",3,"ba Bosnia & Herz'na",0,55058,"Estádio do Sport Lisboa e Benfica","Davide Massa","","https://fbref.com/en/matches/cbeda840/Portugal-Bosnia-and-Herzegovina-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"20:00","Azerbaijan az",1,"ee Estonia",1,3900,"Liv Bona Dea Arena","Ondřej Berka","","https://fbref.com/en/matches/3a52aec1/Azerbaijan-Estonia-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"20:45","Albania al",2,"md Moldova",0,20944,"Air Albania Stadium","Dennis Higler","","https://fbref.com/en/matches/5d41385c/Albania-Moldova-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"20:45","Belgium be",1,"at Austria",1,39237,"Stade Roi Baudouin","Jérôme Brisard","","https://fbref.com/en/matches/cc0ef54c/Belgium-Austria-June-17-2023-UEFA-Euro-Qualifying",NA,NA
